Date,MSFT,AAPL,AMZN,FB,JNJ,GOOG,GOOGL,BRK-B,PG,V,JPM,UNH,INTC,VZ,MA,HD,T,MRK,PFE,NFLX,XOM,WMT,DIS,PEP,BAC,CSCO,NVDA,KO,ABT,CVX,CMCSA,ADBE,BMY,AMGN,MCD,PYPL,LLY,COST,TMO,MDT,ABBV,NEE,ORCL,PM,AMT,ACN,NKE,IBM,UNP,TXN,DHR,WFC,GILD,HON,LMT,RTX,C,SBUX,QCOM,MMM,CVS,CHTR,MDLZ,BA,LOW,MO,UPS,CAT,DUK,CL,AGN,SO,GE,BKNG,GS,BLK,AXP,BIIB,TGT,USB,MS,COP,EXC,WBA,EMR,ALL,GD,DD,BK,FDX,KMI,GM,MET,COF,DOW,SLB,AIG,F,KHC,SPG,OXY
4/1/2020,152.1100006,240.9100037,1907.699951,159.6000061,128.8099976,1105.619995,1102.099976,175.9499969,108.6057129,153.1100006,83.49239349,237.3200073,51.88000107,52.35692215,228.2570343,178.6300049,27.56509209,73.80000305,31.75,364.0799866,37.52999878,114.1399994,94.91999817,118.1200027,19.77000046,37.97000122,243.0700073,42.11999893,76.24891663,68.55999756,32.41999817,301.2099915,54.36999893,197.8099976,158.1699982,91.37999725,136.4199982,286.7799988,275.2000122,84.11000061,72.3411026,218.2299957,48.47969055,71.12000275,206.108963,153.9851837,79.23000336,105.1399994,136.4900055,96.88999939,128.6999969,26.56999969,72.51000214,129.7100067,338.519989,57.50157166,38.50999832,62.61999893,65.90000153,133.1399994,57.85585022,424.0299988,48.68000031,130.6999969,79.95503998,37.61000061,90.38999939,110.3370132,77.56999969,65.15403748,174.2068787,50.13999939,7.039999962,1271.630005,145.2899933,409.5400085,77.40999603,293.269989,95.26999664,31.93000031,31.62000084,29.62000084,33.47999954,43.02999878,45.70000076,86.40000153,126.3572922,32.52000046,32.70000076,113.4800034,12.72999954,19.26000023,27.89999962,44.68000031,27.04000092,12.59000015,21.61000061,4.400000095,23.68000031,47.04000092,10.73999977
4/2/2020,155.2599945,244.9299927,1918.829956,158.1900024,133.1499939,1120.839966,1117.030029,179.7299957,113.6421204,157.3899994,86.61000061,240.4400024,54.34999847,54.66213226,238.5111847,181.3099976,28.26281929,76.87000275,32.86999893,370.0799866,40.40000153,118.6500015,96.97000122,123.8600006,20.56999969,39.79999924,255.4700012,43.95000076,79.10688019,76.12000275,34.36999893,303.9599915,55.20999908,208.8800049,161.5,93.51999664,142.1799927,291.480011,287.5499878,86.15000153,74.02597046,226.4499969,49.56453705,74.33999634,219.8316345,155.5680542,80.13999939,110,141.8000031,102.0199966,136.4299927,27.21999931,76.98000336,132.8099976,353.9599915,54.12838364,39.22999954,65,68.01999664,137.9100037,54.95016479,435.6600037,50.38000107,123.2699966,82.38093567,36.22000122,93.04000092,115.6779709,79.38999939,67.75820923,176.8364105,52.40000153,6.900000095,1260,149.9299927,426.5299988,76.66000366,304.4700012,94.36000061,32.66999817,33.90000153,33.86000061,34.68000031,40.31999969,47.72999954,85.79000092,126.8730316,32.50999832,33.63999939,116.6399994,13.44999981,18.19000053,28.04999924,43.93000031,28.03000069,13.88000011,21.25,4.360000134,24.63999939,44.00999832,12.77000046
4/3/2020,153.8300018,241.4100037,1906.589966,154.1799927,134.1699982,1097.880005,1092.699951,178.3399963,114.3176193,151.8500061,84.05000305,229.4900055,54.13000107,54.11798477,236.664032,178.6999969,26.98529053,76.25,33.63999939,361.7600098,39.20999908,119.4800034,93.87999725,124.5899963,20.03000069,39.06000137,243.9100037,43.83000183,79.11683655,75.11000061,33.95000076,293.6099854,55.52999878,205.4100037,160.3300018,92.38999939,139.6600037,288.6499939,282.2099915,86.26999664,72.2918396,221.6399994,49.16643143,73.45999908,221.8731079,151.4665527,78.86000061,106.3399963,138.5700073,99.98000336,135.1499939,26.22999954,78.20999908,127.4499969,350.5,49.93000031,37.49000168,63.04999924,65.23000336,133.7899933,55.25759506,433.7999878,50.79000092,124.5199966,81.7247467,37.40999985,90,113.6268082,76.01999664,67.21153259,175.0136871,50.27000046,6.730000019,1230.680054,146.9299927,418.0700073,73.59999847,300.5100098,92.56999969,31.19000053,33.84999847,32.90999985,32.75,40.72000122,45.72000122,85.95999908,124.6513672,31.87000084,33.75,109.2200012,13.40999985,18.04000092,27.71999931,42.27000046,27.96999931,14.28999996,20.45999908,4.239999771,25.31999969,46.72000122,13
4/6/2020,165.2700043,262.4700012,1997.589966,165.5500031,139.7599945,1186.920044,1183.189941,185.2400055,117.0295258,169.4400024,89.45999908,248.3399963,58.43000031,56.09670639,265.5294189,191.3300018,28.93106461,80.30999756,34.56999969,379.9599915,40.47000122,126.0699997,99.58000183,131.1600037,21.38999939,41.43000031,268.3999939,46.66999817,82.38308716,80.38999939,36.22999954,319.1300049,57.86999893,211.5800018,177.0399933,101.6699982,141.6100006,305.1199951,304,94.08999634,74.61716461,234.5099945,51.24655151,75.68000031,234.2015839,165.3041229,84.62999725,114.8199997,147.8500061,108.9599991,141.9400024,28.62999916,77.73000336,134,367.9500122,57.56000137,41.11999893,67.79000092,70.94999695,140.6999969,55.75344467,459.5499878,52.02999878,148.7700043,88.25676727,37.27999878,95.68000031,119.3344116,81.25,70.07413483,177.4440002,55.40000153,7.230000019,1356.680054,158.2299957,449.519989,83.87000275,311.3900146,97.51000214,34.36999893,37.00999832,32.79999924,36.31999969,42.63000107,49.38999939,93.51999664,132.5958099,35.38999939,35.24000168,119.0199966,13.98999977,19.54999924,30.62999916,49.41999817,30.54000092,15.67000008,21.52000046,4.53000021,25.90999985,54.06000137,13.43999958
4/7/2020,163.4900055,259.4299927,2011.599976,168.8300018,137.4799957,1186.51001,1182.560059,185.25,112.0229187,168.5899963,90.63999939,248.0399933,58.40000153,56.37372589,258.6799927,192.2899933,29.55999947,78.55999756,33.61000061,372.2799988,41.24000168,121.9899979,101.2399979,130.4799957,22.13999939,40.63999939,259.0299988,46.50999832,81.58644104,80.91999817,36.93999863,308.9299927,56.90000153,208.7799988,175.5899963,100.2799988,141.8800049,303.6300049,296.5799866,94.45999908,74.28215027,228.4900055,50.51999664,74.51000214,226.8224335,163.3827972,84.16000366,114.9400024,145.7599945,106.2600021,138.3000031,28.77000046,74.66999817,135.2400055,355.2799988,57.75999832,41.25,68.70999908,72.73000336,144.6000061,56.3980484,451.75,51.79999924,141.5800018,90.43410492,38.47999954,92.91000366,120.8108521,80.11000061,68.62295532,177.5535583,55.11999893,7.03000021,1376.369995,166.0200043,443.1199951,87.58000183,301.2099915,98.26000214,34.45000076,36.93999863,33.27000046,35.79000092,42.81000137,50.29000092,92.52999878,133.2999878,37.25999832,34.79999924,115.9499969,14.19999981,21.29999924,31.57999992,52.90999985,32.33000183,16.46999931,23.26000023,4.710000038,26.61000061,60.88000107,13.84000015
4/8/2020,165.1300049,266.0700073,2043,174.2799988,143.2599945,1210.280029,1207,191.0099945,114.3374786,174.9400024,94.30000305,267.8299866,58.97999954,57.18499756,270.9500122,194.8200073,29.88999939,81.62000275,34.59999847,371.1199951,43.84999847,121.8399963,101.0699997,132.6100006,23.45000076,41.74000168,266.9500122,47.81999969,84.59377289,85.98000336,37.68000031,317.1799927,58.25,219.1900024,177.4900055,105.0599976,146.2200012,305.9700012,307.1499939,99.27999878,77.40557098,233.5,52.13000107,74.66000366,248.2130585,170.9586029,85.30000305,119.2900009,149.6199951,110.1699982,145.1300049,30.28000069,74.98999786,139.25,361.4100037,62.61999893,44.25999832,71.56999969,73.33000183,148.9900055,58.9169693,463.9299927,51.79000092,146.8699951,93.80450439,40.13000107,98.79000092,126.2409973,85.5,69.79582977,180.3623962,58.18000031,7.300000191,1372.060059,176.9600067,450.9700012,92.08000183,316.9500122,104.6299973,35.65000153,39.36999893,35.68000031,37.59000015,43.09000015,52.09999847,97.25,137.3899994,38.86000061,35.65000153,125.5400009,14.82999992,23.12999916,33.47000122,56.72000122,34.79000092,17.28000069,24.12999916,5.03000021,27.31999969,62.90999985,15.56000042
4/9/2020,165.1399994,267.9899902,2042.76001,175.1900024,141.2299957,1211.449951,1206.569946,193.8399963,113.9003983,173.6900024,102.7600021,264.1300049,57.13999939,57.43999863,269.3999939,201.5299988,30.72999954,82.48999786,35.38999939,370.7200012,43.13000107,121.8000031,104.5,133.6300049,24.86000061,41.20000076,262.9500122,49,85.67920685,84.30999756,38,318.7000122,58.90999985,218.2100067,183.6999969,105.8399963,145.7299957,300.0100098,317.3800049,101.0299988,78.57808685,245.2799988,53.18000031,75.33999634,258.5200195,177.1208038,86.79000092,121.5,148.7299957,107.6900024,145.7299957,33.20000076,73.51000214,143.4299927,371,64.70999908,47.40999985,73.87999725,71.58000183,147.7799988,59.96817398,466.6400146,52.34000015,151.8399963,94.75895691,40.90999985,98.69000244,123.8925552,90.30999756,69.48770142,181.477951,60.33000183,7.139999866,1420.640015,184.2599945,471.4200134,94.81999969,321.0499878,104.1999969,38.04999924,41.08000183,34.72999954,39.15000153,43.97999954,51.77999878,100.3399963,141.0099945,40.77999878,37.13999939,122.2900009,15.35999966,24.05999947,35.45999908,60.11000061,36.56000137,16.46999931,26.54000092,5.369999886,28.11000061,68.16999817,15.35999966
4/13/2020,165.5099945,273.25,2168.870117,174.7899933,139.7700043,1217.560059,1210.410034,188.7700043,115.1818466,168.9900055,98.19000244,263.5100098,58.70000076,56.66999817,263.3399963,198.7899933,30.19000053,80.54000092,35.13999939,396.7200012,42.75999832,125.3000031,103.5,130.8899994,23.92000008,41.22000122,269.8500061,46.93000031,85.48999786,84.91000366,37.18999863,320.6499939,58.91999817,218.2700043,180.1199951,105.9800034,144.4199982,299.6199951,315.3200073,99.51999664,79.12000275,236.2100067,52.97000122,73.94999695,249.7599945,171.7948456,84.45999908,121.1500015,146.8999939,107.6699982,146.1300049,31.43000031,75.27999878,137.9400024,369.9400024,61.83000183,46.68000031,71.76000214,73.30000305,146.3999939,58.47070313,469.7000122,52.02000046,147.3300018,94.64958954,40.43999863,98.41999817,113.1016312,87.36000061,69.07023621,183.1015015,57.72000122,7.019999981,1421.01001,179.1799927,452.3900146,90.33000183,322.9400024,104.6800003,36.79000092,39.58000183,34.29999924,37.75,44.11000061,51.18999863,98,136.9499969,38.31999969,36,123.5299988,14.94999981,23.01000023,34.31999969,56.5,35.22999954,15.94999981,25.62999916,5.159999847,27.93000031,65.30000305,15.32999992
4/14/2020,173.6999969,287.0499878,2283.320068,178.1699982,146.0299988,1269.22998,1265.22998,192.9400024,120.1586609,174.6199951,95.5,270.5,60.65999985,58.13999939,270.7200012,207.1699982,31.12999916,82.83999634,36.43999863,413.5499878,42.43000031,129,106.0299988,138.3999939,23.72999954,42.77999878,283.9500122,48.91999817,89.13999939,84.61000061,38.52000046,340.769989,60.04000092,226.8000031,183.9900055,109.7850037,151.1100006,314.1400146,326.3699951,101.1999969,82.12999725,242.3800049,54,77.18000031,255.1000061,177.3000031,87.47000122,123.9100037,148.9700012,110.9499969,152.1399994,30.18000031,77.75,140.5899963,380.0299988,65.06999969,45.41999817,73.66999817,77.55000305,150.1399994,61.04912949,489.5700073,54.50999832,141,98.49721527,42.11999893,101.4000015,115.4203491,90.41999817,72.66837311,185.9899902,59,6.929999828,1449.420044,178.2299957,458.0299988,88.38999939,333.7600098,108.3799973,35.79999924,39.86000061,34.08000183,39.06999969,46.38000107,50.49000168,102.4400024,138.5,38.43000031,36.34000015,125.0800018,15.11999989,22.97999954,34.43000031,55.34000015,35.36999893,15.53999996,25.78000069,5.289999962,28.45000076,67.75,14.89999962
4/15/2020,171.8800049,284.4299927,2307.679932,176.9700012,147.6600037,1262.469971,1257.300049,188.5700073,120.4169388,165.9600067,90.79000092,281.6799927,58.86999893,56.93000031,257.1400146,198.4799957,30.09000015,82.06999969,35.97000122,426.75,40.47999954,128.7599945,103.3700027,135.0299988,22.19000053,41.52000046,280.8399963,47.61000061,90.94000244,82.48999786,37.15999985,332.5499878,59.45999908,221.8000031,177.8399963,107.9499969,151.1799927,310.269989,325.8299866,97.31999969,81.81999969,237.2200012,53.15999985,75.44000244,247.4900055,169.4499969,85.04000092,118.6900024,146.6600037,107.9800034,152.7599945,28.44000053,74.62999725,134.8399963,374.3800049,62.33000183,42.86000061,72.55000305,75.98999786,145.1600037,60.05743027,496.3200073,53.70999908,145.9799957,93.79456329,40.90999985,99.91999817,110.5153732,87.54000092,72.21115112,185.7100067,55.88999939,6.5,1424.609985,178.5200043,443.0700073,83.79000092,326.9400024,106.2399979,33.33000183,38.40000153,32.20000076,37.02999878,43.43999863,47.90999985,97.94000244,133.8099976,35.56999969,34.63000107,119.9000015,14.35000038,21.65999985,32.47000122,52.59999847,32.22999954,14.72999954,24.07999992,5.03000021,28.04999924,61.22000122,13.60999966
