Date,MSFT,AAPL,AMZN,FB,JNJ,GOOG,GOOGL,BRK-B,PG,V,JPM,UNH,INTC,VZ,MA,HD,T,MRK,PFE,NFLX,XOM,WMT,DIS,PEP,BAC,CSCO,NVDA,KO,ABT,CVX,CMCSA,ADBE,BMY,AMGN,MCD,PYPL,LLY,COST,TMO,MDT,ABBV,NEE,ORCL,PM,AMT,ACN,NKE,IBM,UNP,TXN,DHR,WFC,GILD,HON,LMT,RTX,C,SBUX,QCOM,MMM,CVS,CHTR,MDLZ,BA,LOW,MO,UPS,CAT,DUK,CL,AGN,SO,GE,BKNG,GS,BLK,AXP,BIIB,TGT,USB,MS,COP,EXC,WBA,EMR,ALL,GD,DD,BK,FDX,KMI,GM,MET,COF,DOW,SLB,AIG,F,KHC,SPG,OXY
04/09/2020,165.14,267.99,2042.76,175.19,141.23,1211.45,1206.57,193.84,113.9,173.69,102.76,264.13,57.14,57.44,269.4,201.53,30.73,82.49,35.39,370.72,43.13,121.8,104.5,133.63,24.86,41.2,262.95,49,85.6792,84.31,38,318.7,58.91,218.21,183.7,105.84,145.73,300.01,317.38,101.03,78.5781,245.28,53.18,75.34,258.52,177.121,86.79,121.5,148.73,107.69,145.73,33.2,73.51,143.43,371,64.71,47.41,73.88,71.58,147.78,59.9682,466.64,52.34,151.84,94.759,40.91,98.69,123.893,90.31,69.4877,181.478,60.33,7.14,1420.64,184.26,471.42,94.82,321.05,104.2,38.05,41.08,34.73,39.15,43.98,51.78,100.34,141.01,40.78,37.14,122.29,15.36,24.06,35.46,60.11,36.56,16.47,26.54,5.37,28.11,68.17,15.36
04/01/2020,152.11,240.91,1907.7,159.6,128.81,1105.62,1102.1,175.95,108.606,153.11,83.4924,237.32,51.88,52.3569,228.257,178.63,27.5651,73.8,31.75,364.08,37.53,114.14,94.92,118.12,19.77,37.97,243.07,42.12,76.2489,68.56,32.42,301.21,54.37,197.81,158.17,91.38,136.42,286.78,275.2,84.11,72.3411,218.23,48.4797,71.12,206.109,153.985,79.23,105.14,136.49,96.89,128.7,26.57,72.51,129.71,338.52,57.5016,38.51,62.62,65.9,133.14,57.8559,424.03,48.68,130.7,79.955,37.61,90.39,110.337,77.57,65.154,174.207,50.14,7.04,1271.63,145.29,409.54,77.41,293.27,95.27,31.93,31.62,29.62,33.48,43.03,45.7,86.4,126.357,32.52,32.7,113.48,12.73,19.26,27.9,44.68,27.04,12.59,21.61,4.4,23.68,47.04,10.74
04/02/2020,155.26,244.93,1918.83,158.19,133.15,1120.84,1117.03,179.73,113.642,157.39,86.61,240.44,54.35,54.6621,238.511,181.31,28.2628,76.87,32.87,370.08,40.4,118.65,96.97,123.86,20.57,39.8,255.47,43.95,79.1069,76.12,34.37,303.96,55.21,208.88,161.5,93.52,142.18,291.48,287.55,86.15,74.026,226.45,49.5645,74.34,219.832,155.568,80.14,110,141.8,102.02,136.43,27.22,76.98,132.81,353.96,54.1284,39.23,65,68.02,137.91,54.9502,435.66,50.38,123.27,82.3809,36.22,93.04,115.678,79.39,67.7582,176.836,52.4,6.9,1260,149.93,426.53,76.66,304.47,94.36,32.67,33.9,33.86,34.68,40.32,47.73,85.79,126.873,32.51,33.64,116.64,13.45,18.19,28.05,43.93,28.03,13.88,21.25,4.36,24.64,44.01,12.77
04/03/2020,153.83,241.41,1906.59,154.18,134.17,1097.88,1092.7,178.34,114.318,151.85,84.05,229.49,54.13,54.118,236.664,178.7,26.9853,76.25,33.64,361.76,39.21,119.48,93.88,124.59,20.03,39.06,243.91,43.83,79.1168,75.11,33.95,293.61,55.53,205.41,160.33,92.39,139.66,288.65,282.21,86.27,72.2918,221.64,49.1664,73.46,221.873,151.467,78.86,106.34,138.57,99.98,135.15,26.23,78.21,127.45,350.5,49.93,37.49,63.05,65.23,133.79,55.2576,433.8,50.79,124.52,81.7247,37.41,90,113.627,76.02,67.2115,175.014,50.27,6.73,1230.68,146.93,418.07,73.6,300.51,92.57,31.19,33.85,32.91,32.75,40.72,45.72,85.96,124.651,31.87,33.75,109.22,13.41,18.04,27.72,42.27,27.97,14.29,20.46,4.24,25.32,46.72,13
04/14/2020,173.7,287.05,2283.32,178.17,146.03,1269.23,1265.23,192.94,120.159,174.62,95.5,270.5,60.66,58.14,270.72,207.17,31.13,82.84,36.44,413.55,42.43,129,106.03,138.4,23.73,42.78,283.95,48.92,89.14,84.61,38.52,340.77,60.04,226.8,183.99,109.785,151.11,314.14,326.37,101.2,82.13,242.38,54,77.18,255.1,177.3,87.47,123.91,148.97,110.95,152.14,30.18,77.75,140.59,380.03,65.07,45.42,73.67,77.55,150.14,61.0491,489.57,54.51,141,98.4972,42.12,101.4,115.42,90.42,72.6684,185.99,59,6.93,1449.42,178.23,458.03,88.39,333.76,108.38,35.8,39.86,34.08,39.07,46.38,50.49,102.44,138.5,38.43,36.34,125.08,15.12,22.98,34.43,55.34,35.37,15.54,25.78,5.29,28.45,67.75,14.9
04/06/2020,165.27,262.47,1997.59,165.55,139.76,1186.92,1183.19,185.24,117.03,169.44,89.46,248.34,58.43,56.0967,265.529,191.33,28.9311,80.31,34.57,379.96,40.47,126.07,99.58,131.16,21.39,41.43,268.4,46.67,82.3831,80.39,36.23,319.13,57.87,211.58,177.04,101.67,141.61,305.12,304,94.09,74.6172,234.51,51.2466,75.68,234.202,165.304,84.63,114.82,147.85,108.96,141.94,28.63,77.73,134,367.95,57.56,41.12,67.79,70.95,140.7,55.7534,459.55,52.03,148.77,88.2568,37.28,95.68,119.334,81.25,70.0741,177.444,55.4,7.23,1356.68,158.23,449.52,83.87,311.39,97.51,34.37,37.01,32.8,36.32,42.63,49.39,93.52,132.596,35.39,35.24,119.02,13.99,19.55,30.63,49.42,30.54,15.67,21.52,4.53,25.91,54.06,13.44
04/07/2020,163.49,259.43,2011.6,168.83,137.48,1186.51,1182.56,185.25,112.023,168.59,90.64,248.04,58.4,56.3737,258.68,192.29,29.56,78.56,33.61,372.28,41.24,121.99,101.24,130.48,22.14,40.64,259.03,46.51,81.5864,80.92,36.94,308.93,56.9,208.78,175.59,100.28,141.88,303.63,296.58,94.46,74.2822,228.49,50.52,74.51,226.822,163.383,84.16,114.94,145.76,106.26,138.3,28.77,74.67,135.24,355.28,57.76,41.25,68.71,72.73,144.6,56.398,451.75,51.8,141.58,90.4341,38.48,92.91,120.811,80.11,68.623,177.554,55.12,7.03,1376.37,166.02,443.12,87.58,301.21,98.26,34.45,36.94,33.27,35.79,42.81,50.29,92.53,133.3,37.26,34.8,115.95,14.2,21.3,31.58,52.91,32.33,16.47,23.26,4.71,26.61,60.88,13.84
04/08/2020,165.13,266.07,2043,174.28,143.26,1210.28,1207,191.01,114.337,174.94,94.3,267.83,58.98,57.185,270.95,194.82,29.89,81.62,34.6,371.12,43.85,121.84,101.07,132.61,23.45,41.74,266.95,47.82,84.5938,85.98,37.68,317.18,58.25,219.19,177.49,105.06,146.22,305.97,307.15,99.28,77.4056,233.5,52.13,74.66,248.213,170.959,85.3,119.29,149.62,110.17,145.13,30.28,74.99,139.25,361.41,62.62,44.26,71.57,73.33,148.99,58.917,463.93,51.79,146.87,93.8045,40.13,98.79,126.241,85.5,69.7958,180.362,58.18,7.3,1372.06,176.96,450.97,92.08,316.95,104.63,35.65,39.37,35.68,37.59,43.09,52.1,97.25,137.39,38.86,35.65,125.54,14.83,23.13,33.47,56.72,34.79,17.28,24.13,5.03,27.32,62.91,15.56
04/13/2020,165.51,273.25,2168.87,174.79,139.77,1217.56,1210.41,188.77,115.182,168.99,98.19,263.51,58.7,56.67,263.34,198.79,30.19,80.54,35.14,396.72,42.76,125.3,103.5,130.89,23.92,41.22,269.85,46.93,85.49,84.91,37.19,320.65,58.92,218.27,180.12,105.98,144.42,299.62,315.32,99.52,79.12,236.21,52.97,73.95,249.76,171.795,84.46,121.15,146.9,107.67,146.13,31.43,75.28,137.94,369.94,61.83,46.68,71.76,73.3,146.4,58.4707,469.7,52.02,147.33,94.6496,40.44,98.42,113.102,87.36,69.0702,183.102,57.72,7.02,1421.01,179.18,452.39,90.33,322.94,104.68,36.79,39.58,34.3,37.75,44.11,51.19,98,136.95,38.32,36,123.53,14.95,23.01,34.32,56.5,35.23,15.95,25.63,5.16,27.93,65.3,15.33
04/15/2020,171.88,284.43,2307.68,176.97,147.66,1262.47,1257.3,188.57,120.417,165.96,90.79,281.68,58.87,56.93,257.14,198.48,30.09,82.07,35.97,426.75,40.48,128.76,103.37,135.03,22.19,41.52,280.84,47.61,90.94,82.49,37.16,332.55,59.46,221.8,177.84,107.95,151.18,310.27,325.83,97.32,81.82,237.22,53.16,75.44,247.49,169.45,85.04,118.69,146.66,107.98,152.76,28.44,74.63,134.84,374.38,62.33,42.86,72.55,75.99,145.16,60.0574,496.32,53.71,145.98,93.7946,40.91,99.92,110.515,87.54,72.2112,185.71,55.89,6.5,1424.61,178.52,443.07,83.79,326.94,106.24,33.33,38.4,32.2,37.03,43.44,47.91,97.94,133.81,35.57,34.63,119.9,14.35,21.66,32.47,52.6,32.23,14.73,24.08,5.03,28.05,61.22,13.61
